stat,name,lcI,lcV,type_1,period[d],<I>_1,<V>_1,ra_1,dec_1,ra_1a,dec_1a,amp,period_best,Ai_templ,<I>_templ,<V>_templ,rms,red_chi2,scatter,<I>_F,err_I,nI,p1,p2,p3,p4,p5,a1_F,f1_i,f12_i,r12_i
N,lc_00682.788_01552.805_t,SWEEPS_F1/B.4/newlctot/Isf/lc_00682.788_01552.805_t,SWEEPS_F1/B.4/newlctot/Vsf/lc_00682.231_01553.661_t,ceph,3.672636,18.47,20.31,269.610083,-29.309222,17:58:26.42,-29:18:33.2,0.146,3.67247,0.117,18.458,20.341,280.63,0.34,0.02,18.458,1450.046,824,3.6727,14.6902,7.34503,11.01715,4.10757,0.049,-1.474,2.283,0.044
N,lc_01012.243_01789.592_t,SWEEPS_F1/A.2/newlctot/Isf/lc_01012.243_01789.592_t,SWEEPS_F1/A.2/newlctot/Vsf/lc_01012.169_01789.755_t,ceph,2.920107,18.37,19.82,269.815625,-29.179639,17:59:15.75,-29:10:46.7,0.147,2.918,0.11,18.367,19.827,294.256,0.36,0.02,18.365,1524.675,815,8.75727,2.91876,5.83872,11.67678,3.03014,0.047,-1.814,1.499,0.061
N,lc_01329.274_00397.217_t,SWEEPS_F3/B.1/newlctot/Isf/lc_01329.274_00397.217_t,SWEEPS_F3/B.1/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,15.191055,19.38,99.0,269.881167,-29.40825,17:59:31.48,-29:24:29.7,0.23,15.20439,0.202,19.374,99.0,337.907,0.422,0.02,19.374,1096.037,806,30.40418,15.19328,45.60212,1.87163,2.80761,0.073,-1.794,2.788,0.263
N,lc_00429.334_00617.949_t,SWEEPS_F1/A.2/newlctot/Isf/lc_00429.334_00617.949_t,SWEEPS_F1/A.2/newlctot/Vsf/lc_00429.203_00617.683_t,ceph,14.118759,18.78,20.42,269.73875,-29.146194,17:58:57.30,-29:08:46.3,0.211,14.12745,0.147,18.778,20.453,405.26,0.537,0.02,18.777,1773.881,753,28.27036,14.13493,56.59565,42.46146,1.07308,0.056,-1.029,4.057,0.245
N,lc_00497.473_01185.189_t,SWEEPS_F2/A.2/newlctot/Isf/lc_00497.473_01185.189_t,SWEEPS_F2/A.2/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,5.530433,19.49,99.0,269.902333,-29.122056,17:59:36.56,-29:07:19.4,0.243,5.52763,0.121,19.481,99.0,416.948,0.586,0.02,19.484,1328.216,717,22.10558,5.52738,11.05621,16.58411,4.86781,0.045,-2.563,2.956,0.27
N,lc_00593.341_01208.781_t,SWEEPS_F1/A.3/newlctot/Isf/lc_00593.341_01208.781_t,SWEEPS_F1/A.3/newlctot/Vsf/lc_00594.043_01207.713_t,ceph,11.521419,18.77,20.52,269.585625,-29.154833,17:58:20.55,-29:09:17.4,0.203,11.53175,0.083,18.777,20.55,422.69,0.517,0.02,18.777,1852.024,815,11.54292,23.07735,1.09171,2.1835,46.13643,0.026,-1.234,3.941,0.209
N,lc_01217.159_01600.715_t,SWEEPS_F2/B.1/newlctot/Isf/lc_01217.159_01600.715_t,SWEEPS_F2/B.1/newlctot/Vsf/lc_01216.891_01601.115_t,ceph,5.085582,15.51,17.3,269.934042,-29.311917,17:59:44.17,-29:18:42.9,0.162,5.07733,0.133,15.503,17.301,430.224,1.095,0.02,15.495,13855.048,394,5.08503,10.16708,15.24873,1.24081,3.33487,0.055,-0.711,-1.463,0.228
N,lc_01769.325_01164.572_t,SWEEPS_F3/B.4/newlctot/Isf/lc_01769.325_01164.572_t,SWEEPS_F3/B.4/newlctot/Vsf/lc_01769.213_01165.618_t,ceph,2.380466,18.33,20.61,269.7315,-29.432972,17:58:55.56,-29:25:58.7,0.182,2.38065,0.153,18.321,20.446,439.599,0.541,0.02,18.321,1437.757,813,2.38034,4.76079,9.5218,7.1412,1.40568,0.071,-2.21,1.445,0.125
N,lc_00956.788_01370.282_t,SWEEPS_F3/B.1/newlctot/Isf/lc_00956.788_01370.282_t,SWEEPS_F3/B.1/newlctot/Vsf/lc_00957.031_01371.069_t,ceph,9.600796,19.09,21.21,269.944833,-29.386917,17:59:46.76,-29:23:12.9,0.255,9.5792,0.197,19.106,21.309,449.333,0.558,0.02,19.105,2012.258,806,28.7484,9.58221,38.33034,19.16737,1.80655,0.077,-1.493,4.763,0.072
N,lc_00787.553_00862.018_t,SWEEPS_F2/B.4/newlctot/Isf/lc_00787.553_00862.018_t,SWEEPS_F2/B.4/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,1.006803,18.8,99.0,269.727583,-29.287056,17:58:54.62,-29:17:13.4,0.245,1.0067,0.153,18.814,99.0,535.223,0.714,0.02,18.812,1372.542,756,103.81877,1.00679,2.01359,3.02029,4.02704,0.049,-1.854,4.94,0.158
N,lc_00156.220_01428.556_t,SWEEPS_F1/B.4/newlctot/Isf/lc_00156.220_01428.556_t,SWEEPS_F1/B.4/newlctot/Vsf/lc_00155.554_01429.036_t,ceph,10.257254,18.73,20.98,269.602,-29.279194,17:58:24.48,-29:16:45.1,0.205,10.26731,0.147,18.726,20.937,540.703,0.655,0.02,18.726,2860.971,824,10.27786,20.54666,41.06953,30.79711,1.81811,0.056,-1.369,1.295,0.168
N,lc_01169.367_00027.901_t,SWEEPS_F2/B.1/newlctot/Isf/lc_01169.367_00027.901_t,SWEEPS_F2/B.1/newlctot/Vsf/lc_01168.904_00027.366_t,ceph,5.941106,18.79,20.54,269.830833,-29.309444,17:59:19.40,-29:18:34.0,0.218,5.92846,0.147,18.797,20.571,575.187,0.7,0.02,18.793,3784.691,823,5.92934,11.858,17.78326,2.39824,3.41479,0.05,-3.063,8.831,0.332
N,lc_00396.223_00929.793_t,SWEEPS_F2/A.3/newlctot/Isf/lc_00396.223_00929.793_t,SWEEPS_F2/A.3/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,3.281282,18.9,99.0,269.692833,-29.115333,17:58:46.28,-29:06:55.2,0.222,3.2797,0.153,18.913,99.0,605.366,0.756,0.02,18.917,1546.186,807,3.28118,6.56207,9.84243,13.12362,1.52962,0.07,-2.902,5.301,0.099
N,lc_01470.090_01141.344_t,SWEEPS_F3/B.4/newlctot/Isf/lc_01470.090_01141.344_t,SWEEPS_F3/B.4/newlctot/Vsf/lc_01470.337_01142.910_t,ceph,2.500223,19.11,21.29,269.729958,-29.415917,17:58:55.19,-29:24:57.3,0.219,2.4991,0.152,19.108,21.293,605.711,0.746,0.02,19.109,1747.875,813,4.9966,2.49856,9.99473,1.6667,2.13845,0.057,-1.277,4.727,0.099
N,lc_01138.919_01209.312_t,SWEEPS_F1/A.3/newlctot/Isf/lc_01138.919_01209.312_t,SWEEPS_F1/A.3/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,4.898386,19.13,99.0,269.585625,-29.185917,17:58:20.55,-29:11:09.3,0.241,4.8888,0.158,19.12,99.0,618.434,0.765,0.02,19.115,2545.493,814,14.67038,4.89042,19.56062,9.78019,5.01177,0.062,-2.448,6.441,0.077
N,lc_01031.698_01162.289_t,SWEEPS_F3/A.2/newlctot/Isf/lc_01031.698_01162.289_t,SWEEPS_F3/A.2/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,2.12785,19.2,99.0,269.926708,-29.242639,17:59:42.41,-29:14:33.5,0.219,2.12625,0.104,19.196,99.0,622.832,0.767,0.02,19.197,2956.81,818,2.12634,4.2522,2.00222,6.37867,1.8778,0.037,-2.132,1.731,0.246
N,lc_00216.078_01728.386_t,SWEEPS_F1/B.1/newlctot/Isf/lc_00216.078_01728.386_t,SWEEPS_F1/B.1/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,3.085107,19.07,99.0,269.81975,-29.282889,17:59:16.74,-29:16:58.4,0.256,3.08023,0.228,19.066,99.0,634.665,0.777,0.02,19.071,3091.256,823,3.08013,12.32303,6.16091,9.24161,2.94963,0.058,-1.781,0.984,0.085
N,lc_00533.529_00603.670_t,SWEEPS_F1/B.4/newlctot/Isf/lc_00533.529_00603.670_t,SWEEPS_F1/B.4/newlctot/Vsf/lc_00532.916_00604.079_t,ceph,3.085107,18.9,21.23,269.548042,-29.300639,17:58:11.53,-29:18:02.3,0.274,3.08601,0.229,18.913,21.293,639.403,0.774,0.02,18.916,2232.279,824,6.17168,3.08593,12.34261,9.25734,1.50743,0.099,-1.843,3.346,0.097
N,lc_01867.616_00408.919_t,SWEEPS_F2/A.3/newlctot/Isf/lc_01867.616_00408.919_t,SWEEPS_F2/A.3/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,1.079235,19.35,99.0,269.658542,-29.1995,17:58:38.05,-29:11:58.2,0.227,13.14471,0.112,19.356,99.0,648.839,0.81,0.02,19.353,2207.236,807,54.31155,27.14396,39.4255,1.99309,13.15282,0.038,-1.117,2.6,0.319
N,lc_00441.683_02009.085_t,SWEEPS_F3/B.1/newlctot/Isf/lc_00441.683_02009.085_t,SWEEPS_F3/B.1/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,7.792867,19.17,99.0,269.986625,-29.357472,17:59:56.79,-29:21:26.9,0.28,7.81263,0.183,19.175,99.0,660.588,0.929,0.02,19.177,2234.901,717,31.2206,23.41381,15.6108,7.80418,2.28698,0.074,-2.518,2.682,0.063
N,lc_00124.744_01880.289_t,SWEEPS_F3/A.3/newlctot/Isf/lc_00124.744_01880.289_t,SWEEPS_F3/A.3/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,1.585336,18.56,99.0,269.776167,-29.189556,17:59:06.28,-29:11:22.4,0.241,1.58542,0.138,18.565,99.0,660.599,0.819,0.02,18.565,4559.002,813,1.58548,3.17087,4.75587,8.06556,5.37676,0.053,-1.903,2.644,0.298
N,lc_01296.570_02125.913_t,SWEEPS_F3/A.2/newlctot/Isf/lc_01296.570_02125.913_t,SWEEPS_F3/A.2/newlctot/Vsf/lc_01296.884_02125.825_t,ceph,13.187863,18.6,20.79,269.990042,-29.257889,17:59:57.61,-29:15:28.4,0.281,13.15762,0.221,18.612,20.683,660.797,0.83,0.02,18.612,3678.039,797,26.3366,13.17061,39.48839,1.85405,2.78107,0.08,2.872,-8.408,0.187
N,lc_01013.599_01390.024_t,SWEEPS_F2/A.3/newlctot/Isf/lc_01013.599_01390.024_t,SWEEPS_F2/A.3/newlctot/Vsf/lc_01014.383_01389.692_t,ceph,4.898386,18.97,20.8,269.722875,-29.150583,17:58:53.49,-29:09:02.1,0.228,4.89765,0.173,18.98,20.712,668.869,0.845,0.02,18.984,1263.087,793,4.90052,9.80127,14.69644,2.50468,1.25227,0.072,-2.928,4.731,0.285
N,lc_00209.779_00361.525_t,SWEEPS_F1/B.4/newlctot/Isf/lc_00209.779_00361.525_t,SWEEPS_F1/B.4/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,1.12055,19.01,99.0,269.53225,-29.282167,17:58:07.74,-29:16:55.8,0.211,1.12051,0.089,18.998,99.0,713.565,0.872,0.02,18.997,3529.501,824,1.12037,2.24084,1.0552,2.99292,1.99552,0.031,-1.435,2.129,0.41
N,lc_01388.193_01199.193_t,SWEEPS_F3/A.2/newlctot/Isf/lc_01388.193_01199.193_t,SWEEPS_F3/A.2/newlctot/Vsf/lc_01389.134_01198.493_t,ceph,1.003436,18.45,20.02,269.929167,-29.263083,17:59:43.00,-29:15:47.1,0.219,1.00287,0.12,18.445,20.141,717.617,0.986,0.02,18.448,5430.201,729,1.00308,3.00903,4.01197,1.00113,2.00213,0.032,-0.228,1.331,0.088
N,lc_00800.234_02139.566_t,SWEEPS_F1/B.4/newlctot/Isf/lc_00800.234_02139.566_t,SWEEPS_F1/B.4/newlctot/Vsf/lc_00799.449_02139.851_t,ceph,4.124074,19.12,21.14,269.648458,-29.315944,17:58:35.63,-29:18:57.4,0.269,4.12249,0.148,19.111,21.139,749.96,0.908,0.02,19.113,2782.442,824,1.31613,8.24721,4.1219,1.00234,1.99851,0.038,-2.674,3.703,0.196
N,lc_01382.510_01178.117_t,SWEEPS_F2/A.2/newlctot/Isf/lc_01382.510_01178.117_t,SWEEPS_F2/A.2/newlctot/Vsf/lc_01382.084_01178.547_t,ceph,3.109084,18.51,20.42,269.902,-29.172778,17:59:36.48,-29:10:22.0,0.203,3.1069,0.145,18.503,20.441,751.958,0.928,0.02,18.502,2821.905,811,3.10717,6.21636,9.32426,1.51005,3.02025,0.057,-1.426,0.451,0.235
N,lc_00128.697_01357.741_t,SWEEPS_F1/B.4/newlctot/Isf/lc_00128.697_01357.741_t,SWEEPS_F1/B.4/newlctot/Vsf/lc_00127.990_01357.989_t,ceph,7.148071,18.54,20.47,269.597333,-29.277639,17:58:23.36,-29:16:39.5,0.277,7.1481,0.248,18.544,20.508,756.72,0.916,0.02,18.545,2221.677,824,28.60048,21.44791,7.1488,14.29923,2.62555,0.103,-1.673,2.409,0.031
N,lc_01359.313_00850.940_t,SWEEPS_F1/A.3/newlctot/Isf/lc_01359.313_00850.940_t,SWEEPS_F1/A.3/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,15.385809,18.66,99.0,269.562208,-29.198472,17:58:14.93,-29:11:54.5,0.26,15.37041,0.224,18.657,99.0,775.854,1.128,0.02,18.659,2860.063,694,46.11353,30.72598,15.37918,61.44087,1.06646,0.087,-1.098,-0.188,0.132
N,lc_01872.898_01046.926_t,SWEEPS_F1/A.3/newlctot/Isf/lc_01872.898_01046.926_t,SWEEPS_F1/A.3/newlctot/Vsf/lc_01874.446_01046.177_t,ceph,1.020501,16.57,19.14,269.575,-29.22775,17:58:18.00,-29:13:39.9,0.243,43.99373,0.175,16.562,19.087,784.313,2.197,0.02,16.567,33309.804,355,87.69668,43.98789,1.02022,1.95049,2.0412,0.063,-2.137,6.368,0.184
N,lc_00699.635_00648.293_t,SWEEPS_F1/B.1/newlctot/Isf/lc_00699.635_00648.293_t,SWEEPS_F1/B.1/newlctot/Vsf/lc_00699.715_00647.771_t,ceph,14.118759,18.6,20.2,269.749167,-29.310583,17:58:59.80,-29:18:38.1,0.309,14.03868,0.209,18.602,20.208,835.729,1.469,0.02,18.6,3139.199,567,56.17442,28.1094,42.15181,14.05371,2.79375,0.073,-0.391,-1.218,0.266
N,lc_01323.167_01756.244_t,SWEEPS_F3/A.2/newlctot/Isf/lc_01323.167_01756.244_t,SWEEPS_F3/A.2/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,3.371085,18.85,99.0,269.96575,-29.259389,17:59:51.78,-29:15:33.8,0.259,3.36933,0.184,18.857,99.0,837.744,1.032,0.02,18.853,3515.606,818,3.36824,6.73635,10.10469,1.53903,2.30847,0.071,-1.497,0.763,0.137
N,lc_01181.766_01612.208_t,SWEEPS_F2/B.1/newlctot/Isf/lc_01181.766_01612.208_t,SWEEPS_F2/B.1/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,3.670049,18.91,99.0,269.934792,-29.309889,17:59:44.35,-29:18:35.6,0.231,3.66873,0.191,18.906,99.0,840.179,1.035,0.02,18.906,1897.954,818,14.67264,3.66806,11.00502,7.33585,2.35244,0.044,-0.222,1.099,0.099
N,lc_00065.621_01210.339_t,SWEEPS_F2/B.1/newlctot/Isf/lc_00065.621_01210.339_t,SWEEPS_F2/B.1/newlctot/Vsf/lc_00065.532_01210.362_t,ceph,17.392622,17.75,19.53,269.908417,-29.246167,17:59:38.02,-29:14:46.2,0.214,17.46212,0.123,17.753,19.511,870.939,1.216,0.02,17.751,9967.127,717,52.29918,69.71169,34.92578,17.45457,1.88681,0.051,-1.288,4.453,0.06
N,lc_01968.676_01400.045_t,SWEEPS_F3/A.2/newlctot/Isf/lc_01968.676_01400.045_t,SWEEPS_F3/A.2/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,15.385809,19.19,99.0,269.942458,-29.296389,17:59:46.19,-29:17:47.0,0.203,46.28779,0.049,19.194,99.0,871.063,1.073,0.02,19.196,1776.231,818,30.80031,46.22238,15.41293,61.58228,1.06639,0.043,-1.2,4.919,0.15
N,lc_01694.650_01602.743_t,SWEEPS_F3/B.1/newlctot/Isf/lc_01694.650_01602.743_t,SWEEPS_F3/B.1/newlctot/Vsf/lc_01694.858_01603.311_t,ceph,1.592524,19.28,21.62,269.960083,-29.428944,17:59:50.42,-29:25:44.2,0.375,1.59245,0.315,19.28,21.505,875.165,1.089,0.02,19.277,2496.55,806,1.59253,3.18517,6.3694,4.77701,5.3378,0.097,-2.049,2.69,0.421
N,lc_00349.145_01487.334_t,SWEEPS_F1/B.4/newlctot/Isf/lc_00349.145_01487.334_t,SWEEPS_F1/B.4/newlctot/Vsf/lc_00348.432_01488.031_t,ceph,1.685545,18.37,20.27,269.605833,-29.290194,17:58:25.40,-29:17:24.7,0.203,1.68502,0.176,18.375,20.27,877.492,1.069,0.02,18.378,5169.912,819,6.74094,1.68518,5.05566,3.37041,1.87965,0.068,-2.247,4.611,0.083
N,lc_00916.307_02236.457_t,SWEEPS_F3/A.2/newlctot/Isf/lc_00916.307_02236.457_t,SWEEPS_F3/A.2/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,5.217845,19.13,99.0,269.99725,-29.236083,17:59:59.34,-29:14:09.9,0.316,5.21482,0.227,19.157,99.0,880.519,1.261,0.02,19.162,2617.973,704,10.43453,5.21632,15.64771,20.8662,2.51191,0.098,-1.899,5.022,0.117
N,lc_01280.760_01460.555_t,SWEEPS_F2/B.4/newlctot/Isf/lc_01280.760_01460.555_t,SWEEPS_F2/B.4/newlctot/Vsf/lc_01278.980_01461.145_t,ceph,4.316925,18.98,19.81,269.766875,-29.315333,17:59:04.05,-29:18:55.2,0.255,4.32188,0.155,18.993,19.83,882.931,1.085,0.02,18.993,2502.384,815,8.64031,4.31553,12.95539,5.18719,17.27697,0.038,-1.24,3.619,0.219
N,lc_01616.883_00146.660_t,SWEEPS_F1/A.3/newlctot/Isf/lc_01616.883_00146.660_t,SWEEPS_F1/A.3/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,6.283262,18.57,99.0,269.516208,-29.213139,17:58:03.89,-29:12:47.3,0.22,6.29658,0.114,18.57,99.0,884.672,1.094,0.02,18.566,7402.075,815,12.58719,1.18536,6.29661,2.37101,25.16662,0.039,-1.655,1.261,0.218
N,lc_00026.962_00744.050_t,SWEEPS_F2/A.2/newlctot/Isf/lc_00026.962_00744.050_t,SWEEPS_F2/A.2/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,6.857728,19.0,99.0,269.873333,-29.095028,17:59:29.60,-29:05:42.1,0.247,6.86301,0.161,19.002,99.0,890.118,1.14,0.02,19.0,4434.724,787,27.45925,13.72937,6.86462,20.59165,4.66771,0.066,-1.263,3.518,0.17
N,lc_01000.644_01737.325_t,SWEEPS_F2/A.3/newlctot/Isf/lc_01000.644_01737.325_t,SWEEPS_F2/A.3/newlctot/Vsf/lc_01001.175_01737.641_t,ceph,3.11716,18.7,20.54,269.745625,-29.149806,17:58:58.95,-29:08:59.3,0.223,3.12052,0.145,18.702,20.588,898.669,1.115,0.02,18.704,5333.225,807,6.2422,9.36247,3.12105,4.39741,2.9317,0.055,-0.845,-1.308,0.089
N,lc_00383.035_02069.789_t,SWEEPS_F2/B.1/newlctot/Isf/lc_00383.035_02069.789_t,SWEEPS_F2/B.1/newlctot/Vsf/lc_00382.661_02070.345_t,ceph,14.815972,18.08,20.43,269.964792,-29.264139,17:59:51.55,-29:15:50.9,0.201,14.82625,0.159,18.093,20.463,899.255,1.094,0.02,18.094,6334.829,823,29.63859,59.33772,14.82385,44.50485,1.06926,0.064,-1.452,4.873,0.061
N,lc_01438.849_01963.659_t,SWEEPS_F3/B.1/newlctot/Isf/lc_01438.849_01963.659_t,SWEEPS_F3/B.1/newlctot/Vsf/lc_01438.800_01964.774_t,ceph,2.802343,18.17,20.22,269.983708,-29.414306,17:59:56.09,-29:24:51.5,0.197,2.80308,0.146,18.179,20.22,900.227,1.118,0.02,18.18,6093.321,806,2.80206,8.40727,5.60431,3.09679,1.54828,0.066,-1.168,4.686,0.061
N,lc_00555.964_01475.612_t,SWEEPS_F3/A.2/newlctot/Isf/lc_00555.964_01475.612_t,SWEEPS_F3/A.2/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,1.01618,18.84,99.0,269.947208,-29.215389,17:59:47.33,-29:12:55.4,0.222,0.99732,0.151,18.811,99.0,901.823,1.115,0.02,18.839,3368.793,815,1.00777,2.0156,1.00244,1.016,2.03199,0.031,-2.649,5.396,0.597
N,lc_01170.606_00662.944_t,SWEEPS_F1/B.4/newlctot/Isf/lc_01170.606_00662.944_t,SWEEPS_F1/B.4/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,3.704031,19.32,99.0,269.551875,-29.336944,17:58:12.45,-29:20:13.0,0.281,3.70127,0.133,19.333,99.0,905.659,1.157,0.02,19.331,3082.903,789,7.40646,11.10717,3.70185,2.35718,1.36507,0.038,-0.962,0.432,0.101
N,lc_00291.544_00344.648_t,SWEEPS_F3/A.3/newlctot/Isf/lc_00291.544_00344.648_t,SWEEPS_F3/A.3/newlctot/Vsf/lc_00290.568_00345.640_t,ceph,5.797602,19.02,20.89,269.675542,-29.199194,17:58:42.13,-29:11:57.1,0.27,5.80598,0.263,19.034,20.736,910.861,1.122,0.02,19.029,2431.899,813,5.80152,11.60437,23.20515,17.40187,1.20443,0.081,-1.867,4.249,0.36
N,lc_00233.196_01774.767_t,SWEEPS_F2/A.3/newlctot/Isf/lc_00233.196_01774.767_t,SWEEPS_F2/A.3/newlctot/Vsf/lc_00233.096_01775.292_t,ceph,6.218151,18.44,20.61,269.748125,-29.105917,17:58:59.55,-29:06:21.3,0.23,6.22911,0.218,18.456,20.624,914.399,1.16,0.02,18.453,4852.229,789,6.23275,12.46189,24.91962,18.69299,1.18722,0.056,-1.285,1.108,0.028
N,lc_01716.849_01310.974_t,SWEEPS_F2/A.3/newlctot/Isf/lc_01716.849_01310.974_t,SWEEPS_F2/A.3/newlctot/Vsf/lc_01717.540_01311.057_t,ceph,4.741781,18.46,20.69,269.717625,-29.190806,17:58:52.23,-29:11:26.9,0.216,4.74082,0.171,18.463,20.55,922.15,1.144,0.02,18.47,3847.173,807,9.481,4.74063,18.96553,14.22431,1.64796,0.081,-1.733,4.767,0.24
